Time_submitted,Rating
2022-07-09 15:00:00,5
2022-07-09 14:21:22,5
2022-07-09 13:27:32,4
2022-07-09 13:26:45,1
2022-07-09 13:20:49,1
2022-07-09 13:20:20,3
2022-07-09 13:19:21,5
2022-07-09 13:17:22,3
2022-07-09 13:16:49,5
2022-07-09 13:11:32,1
2022-07-09 13:11:17,2
2022-07-09 13:10:50,1
2022-07-09 13:09:56,1
2022-07-09 13:09:25,1
2022-07-09 13:08:32,5
2022-07-09 13:05:41,5
2022-07-09 13:00:22,2
2022-07-09 13:00:04,3
2022-07-09 12:58:54,1
2022-07-09 12:58:07,1
2022-07-09 12:50:55,5
2022-07-09 12:43:12,4
2022-07-09 12:38:23,3
2022-07-09 12:37:17,1
2022-07-09 12:35:07,4
2022-07-09 12:33:48,5
2022-07-09 12:30:45,5
2022-07-09 12:30:39,2
2022-07-09 12:26:19,2
2022-07-09 12:26:04,4
2022-07-09 12:16:46,3
2022-07-09 12:14:55,5
2022-07-09 12:05:46,1
2022-07-09 12:03:03,1
2022-07-09 12:00:57,1
2022-07-09 11:59:30,5
2022-07-09 11:58:39,4
2022-07-09 11:57:23,5
2022-07-09 11:57:09,5
2022-07-09 11:54:13,5
2022-07-09 11:47:09,1
2022-07-09 11:43:20,4
2022-07-09 11:41:49,5
2022-07-09 11:34:47,2
2022-07-09 11:32:24,2
2022-07-09 11:25:08,1
2022-07-09 11:23:01,5
2022-07-09 11:15:26,5
2022-07-09 11:13:13,4
2022-07-09 11:10:46,5
2022-07-09 11:05:45,1
2022-07-09 11:03:32,5
2022-07-09 11:02:21,4
2022-07-09 11:01:04,5
2022-07-09 10:57:06,1
2022-07-09 10:56:02,1
2022-07-09 10:54:36,5
2022-07-09 10:50:41,1
2022-07-09 10:38:24,5
2022-07-09 10:23:02,5
2022-07-09 10:23:02,1
2022-07-09 10:12:40,3
2022-07-09 10:12:33,5
2022-07-09 10:12:16,1
2022-07-09 10:11:44,5
2022-07-09 10:09:38,5
2022-07-09 10:09:16,1
2022-07-09 10:04:47,4
2022-07-09 9:59:57,1
2022-07-09 9:55:38,2
2022-07-09 9:53:54,3
2022-07-09 9:53:28,1
2022-07-09 9:53:08,2
2022-07-09 9:50:47,3
2022-07-09 9:45:44,4
2022-07-09 9:44:52,4
2022-07-09 9:41:54,1
2022-07-09 9:32:22,5
2022-07-09 9:31:30,4
2022-07-09 9:27:48,4
2022-07-09 9:27:22,1
2022-07-09 9:25:19,5
2022-07-09 9:21:36,3
2022-07-09 9:19:12,5
2022-07-09 9:18:46,1
2022-07-09 9:17:35,3
2022-07-09 9:15:27,4
2022-07-09 8:55:10,1
2022-07-09 8:53:55,1
2022-07-09 8:53:05,1
2022-07-09 8:46:43,5
2022-07-09 8:45:02,1
2022-07-09 8:37:34,3
2022-07-09 8:36:25,2
2022-07-09 8:31:36,4
2022-07-09 8:29:27,5
2022-07-09 8:28:14,2
2022-07-09 8:25:26,1
2022-07-09 8:25:02,1
2022-07-09 8:21:00,5
2022-07-09 8:16:22,1
2022-07-09 8:13:25,1
2022-07-09 8:08:09,2
2022-07-09 8:06:55,5
2022-07-09 8:06:35,1
2022-07-09 8:04:54,3
2022-07-09 8:02:39,5
2022-07-09 8:01:31,1
2022-07-09 8:00:06,1
2022-07-09 7:52:04,5
2022-07-09 7:49:38,5
2022-07-09 7:46:56,5
2022-07-09 7:44:44,1
2022-07-09 7:43:35,1
2022-07-09 7:43:03,5
2022-07-09 7:38:01,5
2022-07-09 7:37:41,4
2022-07-09 7:33:58,1
2022-07-09 7:25:14,5
2022-07-09 7:08:36,1
2022-07-09 7:04:59,4
2022-07-09 6:58:51,1
2022-07-09 6:57:01,5
2022-07-09 6:56:51,5
2022-07-09 6:56:30,5
2022-07-09 6:55:33,4
2022-07-09 6:39:03,5
2022-07-09 6:36:11,1
2022-07-09 6:32:38,4
2022-07-09 6:29:51,5
2022-07-09 6:29:28,5
2022-07-09 6:20:29,5
2022-07-09 6:18:47,1
2022-07-09 6:17:18,1
2022-07-09 6:16:46,5
2022-07-09 6:09:04,3
2022-07-09 6:05:20,5
2022-07-09 6:03:53,4
2022-07-09 5:59:19,2
2022-07-09 5:54:31,5
2022-07-09 5:52:02,5
2022-07-09 5:48:45,1
2022-07-09 5:42:32,1
2022-07-09 5:40:15,5
2022-07-09 5:36:47,5
2022-07-09 5:35:21,1
2022-07-09 5:34:55,5
2022-07-09 5:31:46,1
2022-07-09 5:26:56,4
2022-07-09 5:25:39,5
2022-07-09 5:23:11,4
2022-07-09 5:22:05,1
2022-07-09 5:20:37,1
2022-07-09 5:16:39,4
2022-07-09 5:09:48,1
2022-07-09 5:08:41,4
2022-07-09 5:02:48,1
2022-07-09 4:58:27,4
2022-07-09 4:52:58,4
2022-07-09 4:51:10,4
2022-07-09 4:48:33,3
2022-07-09 4:46:04,5
2022-07-09 4:41:04,5
2022-07-09 4:35:39,5
2022-07-09 4:32:35,1
2022-07-09 4:30:42,5
2022-07-09 4:29:24,4
2022-07-09 4:27:59,5
2022-07-09 4:27:04,5
2022-07-09 4:24:46,5
2022-07-09 4:24:00,2
2022-07-09 4:20:27,5
2022-07-09 4:07:31,4
2022-07-09 4:06:06,4
2022-07-09 4:05:15,1
2022-07-09 4:04:20,1
2022-07-09 4:02:50,5
2022-07-09 3:58:07,3
2022-07-09 3:57:55,2
2022-07-09 3:56:20,1
2022-07-09 3:49:40,1
2022-07-09 3:41:13,1
2022-07-09 3:30:28,2
2022-07-09 3:28:37,3
2022-07-09 3:16:43,1
2022-07-09 3:16:38,1
2022-07-09 3:15:54,4
2022-07-09 3:10:50,5
